date;kwh
01.11.2021 00:00;1.131
01.11.2021 01:00;1.082
01.11.2021 02:00;1.084
01.11.2021 03:00;1.084
01.11.2021 04:00;1.060
01.11.2021 05:00;1.084
01.11.2021 06:00;1.082
01.11.2021 07:00;1.583
01.11.2021 08:00;1.407
01.11.2021 09:00;0.761
01.11.2021 10:00;0.177
01.11.2021 11:00;0.174
01.11.2021 12:00;0.221
01.11.2021 13:00;0.274
01.11.2021 14:00;0.771
01.11.2021 15:00;1.528
01.11.2021 16:00;2.113
01.11.2021 17:00;1.437
01.11.2021 18:00;1.537
01.11.2021 19:00;2.196
01.11.2021 20:00;1.695
01.11.2021 21:00;1.665
01.11.2021 22:00;1.353
01.11.2021 23:00;1.170
02.11.2021 00:00;1.054
02.11.2021 01:00;1.014
02.11.2021 02:00;1.040
02.11.2021 03:00;1.040
02.11.2021 04:00;1.054
02.11.2021 05:00;1.015
02.11.2021 06:00;1.230
02.11.2021 07:00;1.578
02.11.2021 08:00;1.125
02.11.2021 09:00;0.392
02.11.2021 10:00;0.178
02.11.2021 11:00;0.172
02.11.2021 12:00;0.177
02.11.2021 13:00;0.425
02.11.2021 14:00;0.641
02.11.2021 15:00;1.088
02.11.2021 16:00;1.183
02.11.2021 17:00;2.156
02.11.2021 18:00;2.483
02.11.2021 19:00;2.914
02.11.2021 20:00;1.856
02.11.2021 21:00;1.535
02.11.2021 22:00;1.382
02.11.2021 23:00;1.184
03.11.2021 00:00;1.090
03.11.2021 01:00;1.137
03.11.2021 02:00;1.130
03.11.2021 03:00;1.079
03.11.2021 04:00;1.098
03.11.2021 05:00;1.270
03.11.2021 06:00;1.258
03.11.2021 07:00;1.951
03.11.2021 08:00;1.595
03.11.2021 09:00;1.289
03.11.2021 10:00;1.284
03.11.2021 11:00;1.244
03.11.2021 12:00;1.116
03.11.2021 13:00;1.196
03.11.2021 14:00;1.248
03.11.2021 15:00;1.245
03.11.2021 16:00;2.204
03.11.2021 17:00;1.641
03.11.2021 18:00;1.960
03.11.2021 19:00;2.034
03.11.2021 20:00;2.539
03.11.2021 21:00;1.899
03.11.2021 22:00;1.410
03.11.2021 23:00;1.285
04.11.2021 00:00;1.251
04.11.2021 01:00;1.478
04.11.2021 02:00;1.154
04.11.2021 03:00;1.069
04.11.2021 04:00;1.100
04.11.2021 05:00;1.069
04.11.2021 06:00;1.096
04.11.2021 07:00;1.880
04.11.2021 08:00;1.970
04.11.2021 09:00;1.320
04.11.2021 10:00;1.065
04.11.2021 11:00;0.697
04.11.2021 12:00;0.499
04.11.2021 13:00;0.848
04.11.2021 14:00;0.806
04.11.2021 15:00;1.342
04.11.2021 16:00;1.515
04.11.2021 17:00;1.535
04.11.2021 18:00;1.850
04.11.2021 19:00;1.756
04.11.2021 20:00;2.212
04.11.2021 21:00;1.504
04.11.2021 22:00;1.535
04.11.2021 23:00;1.235
05.11.2021 00:00;1.231
05.11.2021 01:00;1.152
05.11.2021 02:00;1.038
05.11.2021 03:00;1.054
05.11.2021 04:00;1.026
05.11.2021 05:00;1.085
05.11.2021 06:00;1.085
05.11.2021 07:00;2.243
05.11.2021 08:00;1.445
05.11.2021 09:00;1.284
05.11.2021 10:00;1.030
05.11.2021 11:00;1.977
05.11.2021 12:00;1.248
05.11.2021 13:00;1.256
05.11.2021 14:00;1.240
05.11.2021 15:00;1.359
05.11.2021 16:00;1.654
05.11.2021 17:00;2.572
05.11.2021 18:00;1.728
05.11.2021 19:00;1.632
05.11.2021 20:00;1.622
05.11.2021 21:00;2.200
05.11.2021 22:00;1.475
05.11.2021 23:00;1.372
06.11.2021 00:00;1.169
06.11.2021 01:00;1.182
06.11.2021 02:00;1.092
06.11.2021 03:00;1.078
06.11.2021 04:00;1.074
06.11.2021 05:00;1.071
06.11.2021 06:00;1.056
06.11.2021 07:00;1.073
06.11.2021 08:00;1.639
06.11.2021 09:00;1.039
06.11.2021 10:00;1.013
06.11.2021 11:00;1.960
06.11.2021 12:00;0.854
06.11.2021 13:00;1.210
06.11.2021 14:00;1.824
06.11.2021 15:00;1.187
06.11.2021 16:00;2.247
06.11.2021 17:00;1.678
06.11.2021 18:00;1.453
06.11.2021 19:00;1.568
06.11.2021 20:00;1.912
06.11.2021 21:00;1.672
06.11.2021 22:00;1.574
06.11.2021 23:00;1.445
07.11.2021 00:00;1.409
07.11.2021 01:00;1.307
07.11.2021 02:00;1.164
07.11.2021 03:00;1.095
07.11.2021 04:00;1.114
07.11.2021 05:00;1.164
07.11.2021 06:00;1.136
07.11.2021 07:00;1.184
07.11.2021 08:00;1.254
07.11.2021 09:00;1.199
07.11.2021 10:00;2.990
07.11.2021 11:00;2.322
07.11.2021 12:00;1.959
07.11.2021 13:00;2.031
07.11.2021 14:00;2.703
07.11.2021 15:00;1.669
07.11.2021 16:00;1.527
07.11.2021 17:00;1.873
07.11.2021 18:00;1.807
07.11.2021 19:00;1.958
07.11.2021 20:00;1.595
07.11.2021 21:00;1.797
07.11.2021 22:00;1.544
07.11.2021 23:00;1.448
08.11.2021 00:00;1.313
08.11.2021 01:00;1.253
08.11.2021 02:00;1.142
08.11.2021 03:00;1.093
08.11.2021 04:00;0.989
08.11.2021 05:00;1.181
08.11.2021 06:00;1.162
08.11.2021 07:00;1.411
08.11.2021 08:00;1.714
08.11.2021 09:00;2.371
08.11.2021 10:00;1.199
08.11.2021 11:00;1.106
08.11.2021 12:00;1.239
08.11.2021 13:00;2.076
08.11.2021 14:00;1.381
08.11.2021 15:00;1.477
08.11.2021 16:00;1.614
08.11.2021 17:00;1.541
08.11.2021 18:00;2.626
08.11.2021 19:00;2.151
08.11.2021 20:00;1.917
08.11.2021 21:00;1.668
08.11.2021 22:00;1.512
08.11.2021 23:00;2.208
09.11.2021 00:00;1.161
09.11.2021 01:00;1.112
09.11.2021 02:00;1.143
09.11.2021 03:00;1.152
09.11.2021 04:00;1.165
09.11.2021 05:00;1.464
09.11.2021 06:00;1.492
09.11.2021 07:00;1.794
09.11.2021 08:00;1.382
09.11.2021 09:00;0.523
09.11.2021 10:00;0.607
09.11.2021 11:00;0.421
09.11.2021 12:00;0.936
09.11.2021 13:00;1.192
09.11.2021 14:00;1.303
09.11.2021 15:00;1.493
09.11.2021 16:00;1.542
09.11.2021 17:00;1.834
09.11.2021 18:00;2.622
09.11.2021 19:00;3.723
09.11.2021 20:00;1.948
09.11.2021 21:00;2.279
09.11.2021 22:00;2.094
09.11.2021 23:00;1.559
10.11.2021 00:00;1.284
10.11.2021 01:00;1.421
10.11.2021 02:00;1.165
10.11.2021 03:00;1.163
10.11.2021 04:00;1.147
10.11.2021 05:00;1.127
10.11.2021 06:00;1.426
10.11.2021 07:00;1.534
10.11.2021 08:00;1.569
10.11.2021 09:00;1.380
10.11.2021 10:00;1.488
10.11.2021 11:00;1.257
10.11.2021 12:00;1.486
10.11.2021 13:00;2.426
10.11.2021 14:00;1.781
10.11.2021 15:00;1.843
10.11.2021 16:00;1.570
10.11.2021 17:00;2.650
10.11.2021 18:00;2.296
10.11.2021 19:00;2.242
10.11.2021 20:00;1.666
10.11.2021 21:00;1.501
10.11.2021 22:00;1.370
10.11.2021 23:00;1.808
11.11.2021 00:00;1.424
11.11.2021 01:00;1.274
11.11.2021 02:00;1.086
11.11.2021 03:00;1.041
11.11.2021 04:00;1.068
11.11.2021 05:00;1.132
11.11.2021 06:00;1.269
11.11.2021 07:00;1.526
11.11.2021 08:00;1.315
11.11.2021 09:00;1.045
11.11.2021 10:00;1.815
11.11.2021 11:00;1.149
11.11.2021 12:00;1.141
11.11.2021 13:00;1.124
11.11.2021 14:00;1.264
11.11.2021 15:00;1.432
11.11.2021 16:00;1.598
11.11.2021 17:00;1.548
11.11.2021 18:00;2.218
11.11.2021 19:00;2.323
11.11.2021 20:00;1.911
11.11.2021 21:00;2.162
11.11.2021 22:00;2.246
11.11.2021 23:00;1.476
12.11.2021 00:00;1.229
12.11.2021 01:00;1.098
12.11.2021 02:00;1.256
12.11.2021 03:00;1.143
12.11.2021 04:00;1.109
12.11.2021 05:00;1.057
12.11.2021 06:00;1.067
12.11.2021 07:00;1.273
12.11.2021 08:00;1.264
12.11.2021 09:00;1.128
12.11.2021 10:00;1.200
12.11.2021 11:00;1.309
12.11.2021 12:00;2.024
12.11.2021 13:00;1.218
12.11.2021 14:00;1.120
12.11.2021 15:00;1.249
12.11.2021 16:00;1.294
12.11.2021 17:00;1.657
12.11.2021 18:00;1.923
12.11.2021 19:00;1.781
12.11.2021 20:00;1.612
12.11.2021 21:00;1.603
12.11.2021 22:00;1.420
12.11.2021 23:00;1.422
13.11.2021 00:00;1.351
13.11.2021 01:00;1.080
13.11.2021 02:00;1.303
13.11.2021 03:00;1.378
13.11.2021 04:00;1.245
13.11.2021 05:00;1.124
13.11.2021 06:00;1.076
13.11.2021 07:00;1.077
13.11.2021 08:00;1.247
13.11.2021 09:00;1.287
13.11.2021 10:00;1.214
13.11.2021 11:00;1.253
13.11.2021 12:00;1.111
